competitor_id,name,country,country_code,abbreviation
sr:competitor:452691,"Araujo, Pedro",Portugal,PRT,ARA
sr:competitor:252239,"Forti, Francesco",Italy,ITA,FOR
sr:competitor:244783,"Lorusso, Lorenzo",Italy,ITA,LOR
sr:competitor:682911,"Faria, Jaime",Portugal,PRT,FAR
sr:competitor:345060,"Kingsley, Cannon",USA,USA,KIN
sr:competitor:156826,"van Wyk, Kris",South Africa,ZAF,VAN
sr:competitor:160104,"Vance, Jamie",USA,USA,VAN
sr:competitor:130494,"Neos, Eleftherios",Cyprus,CYP,NEO
sr:competitor:124934,"Lomakin, Grigoriy",Kazakhstan,KAZ,LOM
sr:competitor:51100,"Roca Batalla, Oriol",Spain,ESP,ROC
sr:competitor:243478,"Vives Marcos, Pedro",Spain,ESP,VIV
sr:competitor:951299,"Tobon, Miguel",Colombia,COL,TOB
sr:competitor:952887,"Aguilar Cardozo, Joaquin",Uruguay,URY,AGU
sr:competitor:171072,"Hsu, Jeffrey Chuan En",Chinese Taipei,TPE,HSU
sr:competitor:256875,"Tirante, Thiago Agustin",Argentina,ARG,TIR
sr:competitor:809322,"Shick, Braden",USA,USA,SHI
sr:competitor:350814,"Vankan, Marlon",Germany,DEU,VAN
sr:competitor:433906,"Couto Loureiro, Joao Victor",Brazil,BRA,COU
sr:competitor:138712,"Oradini, Giovanni",Italy,ITA,ORA
sr:competitor:365412,"Sanchez Martinez, Benito",Germany,DEU,SAN
sr:competitor:812862,"Homberg, Maximilian",Germany,DEU,HOM
sr:competitor:228766,"Braynin, Aleksandr",Ukraine,UKR,BRA
sr:competitor:337607,"Yang, Zijiang",China,CHN,YAN
sr:competitor:342826,"Trotter, James Kent",Japan,JPN,TRO
sr:competitor:797330,"Maksimovic, Marko",Serbia,SRB,MAK
sr:competitor:114885,"Nikles, Johan",Switzerland,CHE,NIK
sr:competitor:260947,"Falabella, Lautaro Agustin",Argentina,ARG,FAL
sr:competitor:891669,"Tien, Learner",USA,USA,TIE
sr:competitor:418213,"Diallo, Gabriel",Canada,CAN,DIA
sr:competitor:88992,"Muller, Alexandre",France,FRA,MUL
sr:competitor:552469,"Agafonov, Egor",Neutral,,AGA
sr:competitor:256393,"Kravchenko, Georgii",Ukraine,UKR,KRA
sr:competitor:224024,"Alvarez Varona, Nicolas",Spain,ESP,ALV
sr:competitor:580167,"Nedic, Andrej",Bosnia & Herzegovina,BIH,NED
sr:competitor:369630,"Strombachs, Robert",Germany,DEU,STR
sr:competitor:679699,"Bertrand, Robin",France,FRA,BER
sr:competitor:101157,"Rybakov, Alex",USA,USA,RYB
sr:competitor:52276,"Krueger, Mitchell",USA,USA,KRU
sr:competitor:501410,"Hignett, Liam",Great Britain,GBR,HIG
sr:competitor:637610,"Overbeck, Carl Emil",Denmark,DNK,OVE
sr:competitor:382056,"Bouquier, Arthur",France,FRA,BOU
sr:competitor:353298,"van der Meerschen, Martin",Belgium,BEL,VAN
sr:competitor:215696,"Schell, Niklas",Germany,DEU,SCH
sr:competitor:812360,"Sueoka, Yamato",Japan,JPN,SUE
sr:competitor:402317,"Dostanic, Stefan",USA,USA,DOS
sr:competitor:518802,"Cigarran, Thiago",Argentina,ARG,CIG
sr:competitor:283965,"Suresh, Dhakshineswar",India,IND,SUR
sr:competitor:163492,"Tamm, Kristjan",Estonia,EST,TAM
sr:competitor:102151,"Tabilo, Alejandro",Chile,CHL,TAB
sr:competitor:908817,"Woestendick, Cooper",USA,USA,WOE
sr:competitor:834054,"Prado Angelo, Juan Carlos",Bolivia,BOL,PRA
sr:competitor:46259,"Neuchrist, Maximilian",Austria,AUT,NEU
sr:competitor:317355,"Somani, Parikshit",India,IND,SOM
sr:competitor:212046,"de Jonge, Daniel",Netherlands,NLD,DE
sr:competitor:668817,"Shepp, Anton",New Zealand,NZL,SHE
sr:competitor:350440,"Zeng, Yaojie",China,CHN,ZEN
sr:competitor:341218,"Colson, Tibo",Belgium,BEL,COL
sr:competitor:180948,"Parizzia, Nicolas",Switzerland,CHE,PAR
sr:competitor:978579,"Ghazouani Durand, Yanis",France,FRA,GHA
sr:competitor:1196859,"Suarez, Billy",USA,USA,SUA
sr:competitor:50037,"Bortolotti, Marco",Italy,ITA,BOR
sr:competitor:294248,"Hellum Lilleengen, Lukas",Norway,NOR,HEL
sr:competitor:14508,"Mahut, Nicolas",France,FRA,MAH
sr:competitor:283451,"Rodriguez, Lorenzo Joaquin",Argentina,ARG,ROD
sr:competitor:652290,"Ambrogi, Luciano Emanuel",Argentina,ARG,AMB
sr:competitor:64920,"Myneni, Saketh",India,IND,MYN
sr:competitor:580165,"Johansson, Oliver",Sweden,SWE,JOH
sr:competitor:215492,"Cui, Jie",China,CHN,CUI
sr:competitor:844726,"Bozemoj, Brian",Netherlands,NLD,BOZ
sr:competitor:783794,"Singh, Karan (IND)",India,IND,SIN
sr:competitor:193008,"Graca, Joao",Portugal,PRT,GRA
sr:competitor:208165,"Fomin, Sergey",Uzbekistan,UZB,FOM
sr:competitor:16043,"Middelkoop, Matwe",Netherlands,NLD,MID
sr:competitor:157394,"Rosenkranz, Mats",Germany,DEU,ROS
sr:competitor:393574,"Becerra Otarola, Ignacio Antonio",Chile,CHL,BEC
sr:competitor:255409,"Nortey, Isaac",Ghana,GHA,NOR
sr:competitor:255601,"Tenti, Fermin",Argentina,ARG,TEN
sr:competitor:258735,"Cerundolo, Juan Manuel",Argentina,ARG,CER
sr:competitor:111837,"Harris, Billy",Great Britain,GBR,HAR
sr:competitor:496346,"Stricker, Dominic",Switzerland,CHE,STR
sr:competitor:227358,"Walton, Adam",Australia,AUS,WAL
sr:competitor:17080,"Tomic, Bernard",Australia,AUS,TOM
sr:competitor:978589,"Almazan Valiente, Izan",Spain,ESP,ALM
sr:competitor:445313,"Sharma, Atharva",India,IND,SHA
sr:competitor:63090,"Fatic, Nerman",Bosnia & Herzegovina,BIH,FAT
sr:competitor:16564,"Pereira, Jose",Brazil,BRA,PER
sr:competitor:245779,"Martin, Dan",Canada,CAN,MAR
sr:competitor:935773,"Cho, Seung Woo",Republic of Korea,KOR,CHO
sr:competitor:529399,"Papa, Christopher",USA,USA,PAP
sr:competitor:59984,"Trongcharoenchaikul, Wishaya",Thailand,THA,TRO
